source	destination	value	model	nSim	nSeq	protocol
Region3	Region3	52.0	simulation	46	150	maxPerRegionYear_10
Region1	Region1	93.0	simulation	46	150	maxPerRegionYear_20
Region2	Region1	15.0	simulation	46	150	maxPerRegionYear_20
Region3	Region1	0.0	simulation	46	150	maxPerRegionYear_20
Region1	Region2	22.0	simulation	46	150	maxPerRegionYear_20
Region2	Region2	117.0	simulation	46	150	maxPerRegionYear_20
Region3	Region2	3.0	simulation	46	150	maxPerRegionYear_20
Region1	Region3	3.0	simulation	46	150	maxPerRegionYear_20
Region2	Region3	5.0	simulation	46	150	maxPerRegionYear_20
Region3	Region3	37.0	simulation	46	150	maxPerRegionYear_20
Region1	Region1	35.0	simulation	46	150	biased_2.5
Region2	Region1	6.0	simulation	46	150	biased_2.5
Region3	Region1	0.0	simulation	46	150	biased_2.5
Region1	Region2	20.0	simulation	46	150	biased_2.5
Region2	Region2	215.0	simulation	46	150	biased_2.5
Region3	Region2	2.0	simulation	46	150	biased_2.5
Region1	Region3	1.0	simulation	46	150	biased_2.5
Region2	Region3	4.0	simulation	46	150	biased_2.5
Region3	Region3	12.0	simulation	46	150	biased_2.5
Region1	Region1	19.0	simulation	46	150	biased_10
Region2	Region1	7.0	simulation	46	150	biased_10
Region3	Region1	0.0	simulation	46	150	biased_10
Region1	Region2	24.0	simulation	46	150	biased_10
Region2	Region2	234.0	simulation	46	150	biased_10
Region3	Region2	3.0	simulation	46	150	biased_10
Region1	Region3	1.0	simulation	46	150	biased_10
Region2	Region3	0.0	simulation	46	150	biased_10
Region3	Region3	7.0	simulation	46	150	biased_10
Region1	Region1	94.0	simulation	46	150	maxPerRegionYear_5
Region2	Region1	15.0	simulation	46	150	maxPerRegionYear_5
Region3	Region1	0.0	simulation	46	150	maxPerRegionYear_5
Region1	Region2	22.0	simulation	46	150	maxPerRegionYear_5
Region2	Region2	93.0	simulation	46	150	maxPerRegionYear_5
Region3	Region2	2.0	simulation	46	150	maxPerRegionYear_5
Region1	Region3	4.0	simulation	46	150	maxPerRegionYear_5
Region2	Region3	11.0	simulation	46	150	maxPerRegionYear_5
Region3	Region3	54.0	simulation	46	150	maxPerRegionYear_5
Region1	Region1	64.0	simulation	46	150	uniform
Region2	Region1	12.0	simulation	46	150	uniform
Region3	Region1	0.0	simulation	46	150	uniform
Region1	Region2	24.0	simulation	46	150	uniform
Region2	Region2	157.0	simulation	46	150	uniform
